dia_setmana,hora,Grup_Vehicle,count
0,21,Motocicleta,1315
0,21,Taxis,18
0,21,Transport Comercial,474
0,21,Transport públic,12
0,21,Vehicle Turisme,6082
0,21,Vehicles especials,3
0,21,Vianants,56
0,22,Bicicletes,77
0,22,Equips emergencia,9
0,22,Habitatge,2
0,22,Motocicleta,722
0,22,Taxis,11
0,22,Transport Comercial,326
0,22,Transport públic,10
0,22,Vehicle Turisme,5284
0,22,Vehicles especials,1
0,22,Vianants,25
0,23,Bicicletes,293
0,23,Equips emergencia,5
0,23,Motocicleta,934
0,23,Taxis,17
0,23,Transport Comercial,343
0,23,Transport públic,14
0,23,Vehicle Turisme,6239
0,23,Vehicles especials,4
0,23,Vianants,56
1,00,Bicicletes,400
1,00,Equips emergencia,2
1,00,Habitatge,4
1,00,Motocicleta,1074
1,00,Taxis,50
1,00,Transport Comercial,339
1,00,Transport públic,9
1,00,Vehicle Turisme,6248
1,00,Vehicles especials,1
1,00,Vianants,55
1,01,Bicicletes,343
1,01,Equips emergencia,8
1,01,Motocicleta,817
1,01,Taxis,34
1,01,Transport Comercial,256
1,01,Transport públic,12
1,01,Vehicle Turisme,4513
1,01,Vehicles especials,3
1,01,Vianants,51
1,02,Bicicletes,153
1,02,Equips emergencia,5
1,02,Habitatge,2
1,02,Motocicleta,538
1,02,Taxis,18
1,02,Transport Comercial,152
1,02,Transport públic,12
1,02,Vehicle Turisme,2383
1,02,Vehicles especials,1
1,02,Vianants,52
1,03,Bicicletes,122
1,03,Equips emergencia,4
1,03,Motocicleta,363
1,03,Taxis,30
1,03,Transport Comercial,143
1,03,Transport públic,8
1,03,Vehicle Turisme,2145
1,03,Vehicles especials,1
1,03,Vianants,53
1,04,Bicicletes,141
1,04,Equips emergencia,11
1,04,Motocicleta,424
1,04,Taxis,49
1,04,Transport Comercial,253
1,04,Transport públic,10
1,04,Vehicle Turisme,2720
1,04,Vehicles especials,1
1,04,Vianants,68
1,05,Bicicletes,84
1,05,Equips emergencia,10
1,05,Habitatge,1
1,05,Motocicleta,383
1,05,Taxis,20
1,05,Transport Comercial,343
1,05,Transport públic,3
1,05,Vehicle Turisme,2977
1,05,Vianants,57
1,06,Bicicletes,16
1,06,Equips emergencia,2
1,06,Motocicleta,385
1,06,Taxis,4
1,06,Transport Comercial,288
1,06,Transport públic,20
1,06,Vehicle Turisme,1669
1,06,Vianants,65
1,07,Bicicletes,169
1,07,Equips emergencia,3
1,07,Habitatge,4
1,07,Motocicleta,1665
1,07,Taxis,23
1,07,Transport Comercial,789
1,07,Transport públic,28
1,07,Vehicle Turisme,4636
1,07,Vehicles especials,14
1,07,Vianants,456
1,08,Bicicletes,486
1,08,Equips emergencia,6
1,08,Habitatge,13
1,08,Motocicleta,4346
1,08,Taxis,63
1,08,Transport Comercial,3051
1,08,Transport públic,80
1,08,Vehicle Turisme,10313
1,08,Vehicles especials,15
1,08,Vianants,836
1,09,Bicicletes,441
1,09,Equips emergencia,10
1,09,Habitatge,18
1,09,Motocicleta,3158
1,09,Taxis,163
1,09,Transport Comercial,9058
1,09,Transport públic,123
1,09,Vehicle Turisme,21256
1,09,Vehicles especials,21
1,09,Vianants,1262
1,10,Bicicletes,229
1,10,Equips emergencia,13
1,10,Habitatge,19
1,10,Motocicleta,2639
1,10,Taxis,213
1,10,Transport Comercial,10204
1,10,Transport públic,159
1,10,Vehicle Turisme,24900
1,10,Vehicles especials,29
1,10,Vianants,1268
1,11,Bicicletes,295
1,11,Equips emergencia,15
1,11,Habitatge,12
1,11,Motocicleta,2446
1,11,Taxis,104
1,11,Transport Comercial,5783
1,11,Transport públic,175
1,11,Vehicle Turisme,17348
1,11,Vehicles especials,23
1,11,Vianants,1215
1,12,Bicicletes,434
1,12,Equips emergencia,13
1,12,Habitatge,25
1,12,Motocicleta,3003
1,12,Taxis,183
1,12,Transport Comercial,10722
1,12,Transport públic,172
1,12,Vehicle Turisme,26041
1,12,Vehicles especials,33
1,12,Vianants,1380
1,13,Bicicletes,398
1,13,Equips emergencia,19
1,13,Habitatge,18
1,13,Motocicleta,2483
1,13,Taxis,128
1,13,Transport Comercial,6373
1,13,Transport públic,152
1,13,Vehicle Turisme,19185
1,13,Vehicles especials,19
1,13,Vianants,973
1,14,Bicicletes,192
1,14,Equips emergencia,11
1,14,Habitatge,19
1,14,Motocicleta,1814
1,14,Taxis,107
1,14,Transport Comercial,5725
1,14,Transport públic,124
1,14,Vehicle Turisme,15587
1,14,Vehicles especials,10
1,14,Vianants,708
1,15,Bicicletes,393
1,15,Equips emergencia,11
1,15,Habitatge,11
1,15,Motocicleta,2870
1,15,Taxis,188
1,15,Transport Comercial,4691
1,15,Transport públic,100
1,15,Vehicle Turisme,18357
1,15,Vehicles especials,15
1,15,Vianants,746
1,16,Bicicletes,732
1,16,Equips emergencia,13
1,16,Habitatge,21
1,16,Motocicleta,3643
1,16,Taxis,155
1,16,Transport Comercial,7757
1,16,Transport públic,104
1,16,Vehicle Turisme,23357
1,16,Vehicles especials,26
1,16,Vianants,957
1,17,Bicicletes,760
1,17,Equips emergencia,15
1,17,Habitatge,26
1,17,Motocicleta,3402
1,17,Taxis,116
1,17,Transport Comercial,5637
1,17,Transport públic,87
1,17,Vehicle Turisme,20983
1,17,Vehicles especials,17
1,17,Vianants,769
1,18,Bicicletes,625
1,18,Equips emergencia,11
1,18,Habitatge,19
1,18,Motocicleta,2562
1,18,Patinet,1
1,18,Taxis,76
1,18,Transport Comercial,1903
1,18,Transport públic,80
1,18,Vehicle Turisme,13363
1,18,Vehicles especials,11
1,18,Vianants,437
1,19,Bicicletes,593
1,19,Equips emergencia,13
1,19,Habitatge,45
1,19,Motocicleta,2832
1,19,Taxis,109
1,19,Transport Comercial,2683
1,19,Transport públic,53
1,19,Vehicle Turisme,17615
1,19,Vehicles especials,12
1,19,Vianants,472
1,20,Bicicletes,549
1,20,Equips emergencia,10
1,20,Habitatge,2
1,20,Motocicleta,2319
1,20,Taxis,49
1,20,Transport Comercial,664
1,20,Transport públic,17
1,20,Vehicle Turisme,7368
1,20,Vehicles especials,10
1,20,Vianants,130
1,21,Bicicletes,258
1,21,Equips emergencia,9
1,21,Habitatge,2
1,21,Motocicleta,1333
1,21,Taxis,15
1,21,Transport Comercial,469
1,21,Transport públic,6
1,21,Vehicle Turisme,6145
1,21,Vianants,80
1,22,Bicicletes,83
1,22,Equips emergencia,6
1,22,Habitatge,1
1,22,Motocicleta,801
1,22,Taxis,13
1,22,Transport Comercial,364
1,22,Transport públic,19
1,22,Vehicle Turisme,5063
1,22,Vehicles especials,1
1,22,Vianants,34
1,23,Bicicletes,407
1,23,Equips emergencia,3
1,23,Motocicleta,1059
1,23,Taxis,24
1,23,Transport Comercial,403
1,23,Transport públic,14
1,23,Vehicle Turisme,6620
1,23,Vehicles especials,2
1,23,Vianants,62
2,00,Bicicletes,593
2,00,Equips emergencia,8
2,00,Habitatge,1
2,00,Motocicleta,1263
2,00,Taxis,36
2,00,Transport Comercial,351
2,00,Transport públic,9
2,00,Vehicle Turisme,6612
2,00,Vehicles especials,3
2,00,Vianants,68
2,01,Bicicletes,375
2,01,Equips emergencia,5
2,01,Habitatge,4
2,01,Motocicleta,967
2,01,Taxis,36
2,01,Transport Comercial,256
2,01,Transport públic,12
2,01,Vehicle Turisme,4649
2,01,Vehicles especials,4
2,01,Vianants,61
2,02,Bicicletes,186
2,02,Equips emergencia,2
2,02,Habitatge,2
2,02,Motocicleta,515
2,02,Taxis,36
2,02,Transport Comercial,152
2,02,Transport públic,11
2,02,Vehicle Turisme,2502
2,02,Vehicles especials,3
2,02,Vianants,39
2,03,Bicicletes,145
2,03,Equips emergencia,3
2,03,Motocicleta,419
2,03,Taxis,21
2,03,Transport Comercial,156
2,03,Transport públic,4
2,03,Vehicle Turisme,2134
2,03,Vehicles especials,1
2,03,Vianants,45
2,04,Bicicletes,118
2,04,Equips emergencia,9
2,04,Motocicleta,482
2,04,Taxis,29
2,04,Transport Comercial,234
2,04,Transport públic,10
2,04,Vehicle Turisme,2667
2,04,Vianants,60
2,05,Bicicletes,58
2,05,Equips emergencia,4
2,05,Motocicleta,376
2,05,Taxis,7
2,05,Transport Comercial,343
2,05,Transport públic,9
2,05,Vehicle Turisme,3129
2,05,Vehicles especials,3
2,05,Vianants,70
2,06,Bicicletes,10
2,06,Equips emergencia,6
2,06,Motocicleta,384
2,06,Taxis,4
2,06,Transport Comercial,329
2,06,Transport públic,23
2,06,Vehicle Turisme,1795
2,06,Vianants,42
2,07,Bicicletes,112
2,07,Equips emergencia,7
