Nom_Districte,Hora,total_multes
Sarrià-Sant Gervasi,20,11456
Ciutat Vella,21,4052
Eixample,21,6910
Gràcia,21,1784
Horta-Guinardó,21,4567
Les Corts,21,8337
Nou Barris,21,12169
Sant Andreu,21,2766
Sant Martí,21,4164
Sants-Montjuïc,21,5900
Sarrià-Sant Gervasi,21,7373
Ciutat Vella,22,4359
Eixample,22,3279
Gràcia,22,489
Horta-Guinardó,22,3278
Les Corts,22,7611
Nou Barris,22,16227
Sant Andreu,22,1384
Sant Martí,22,2061
Sants-Montjuïc,22,5099
Sarrià-Sant Gervasi,22,5223
Ciutat Vella,23,7332
Eixample,23,5844
Gràcia,23,867
Horta-Guinardó,23,3640
Les Corts,23,7769
Nou Barris,23,17411
Sant Andreu,23,2112
Sant Martí,23,3599
Sants-Montjuïc,23,7809
Sarrià-Sant Gervasi,23,5851
