dia_setmana,hora,Agent,count
4,07,Guardia Urbana,1675
4,07,Radar,6759
4,08,Guardia Urbana,4076
4,08,Radar,14287
4,09,Guardia Urbana,3985
4,09,Radar,31544
4,10,Guardia Urbana,2905
4,10,Radar,35409
4,11,Guardia Urbana,4472
4,11,Radar,21737
4,12,Guardia Urbana,5651
4,12,Radar,34151
4,13,Guardia Urbana,4137
4,13,Radar,23856
4,14,Guardia Urbana,1845
4,14,Radar,22339
4,15,Guardia Urbana,4559
4,15,Radar,23407
4,16,Guardia Urbana,7510
4,16,Radar,29902
4,17,Guardia Urbana,7197
4,17,Radar,26154
4,18,Guardia Urbana,4821
4,18,Radar,14800
4,19,Guardia Urbana,4934
4,19,Radar,18565
4,20,Guardia Urbana,5176
4,20,Radar,5046
4,21,Guardia Urbana,2998
4,21,Radar,5373
4,22,Guardia Urbana,1137
4,22,Radar,5850
4,23,Guardia Urbana,2594
4,23,Radar,6354
5,00,Guardia Urbana,3760
5,00,Radar,6573
5,01,Guardia Urbana,3130
5,01,Radar,5984
5,02,Guardia Urbana,1757
5,02,Radar,4092
5,03,Guardia Urbana,1874
5,03,Radar,3449
5,04,Guardia Urbana,2678
5,04,Radar,3295
5,05,Guardia Urbana,1445
5,05,Radar,4273
5,06,Guardia Urbana,820
5,06,Radar,4820
5,07,Guardia Urbana,2306
5,07,Radar,6604
5,08,Guardia Urbana,3866
5,08,Radar,9139
5,09,Guardia Urbana,2928
5,09,Radar,13249
5,10,Guardia Urbana,2187
5,10,Radar,13238
5,11,Guardia Urbana,3937
5,11,Radar,8407
5,12,Guardia Urbana,5895
5,12,Radar,12240
5,13,Guardia Urbana,4173
5,13,Radar,9757
5,14,Guardia Urbana,2157
5,14,Radar,11245
5,15,Guardia Urbana,3961
5,15,Radar,14175
5,16,Guardia Urbana,6419
5,16,Radar,13903
5,17,Guardia Urbana,5654
5,17,Radar,10793
5,18,Guardia Urbana,4051
5,18,Radar,6584
5,19,Guardia Urbana,4073
5,19,Radar,6227
5,20,Guardia Urbana,4203
5,20,Radar,4629
5,21,Guardia Urbana,2508
5,21,Radar,5117
5,22,Guardia Urbana,1276
5,22,Radar,6784
5,23,Guardia Urbana,2992
5,23,Radar,6487
6,00,Guardia Urbana,4150
6,00,Radar,6675
6,01,Guardia Urbana,3229
6,01,Radar,6605
6,02,Guardia Urbana,1800
6,02,Radar,4846
6,03,Guardia Urbana,1823
6,03,Radar,4001
6,04,Guardia Urbana,2395
6,04,Radar,3855
6,05,Guardia Urbana,1424
6,05,Radar,4396
6,06,Guardia Urbana,788
6,06,Radar,5102
6,07,Guardia Urbana,1801
6,07,Radar,6629
6,08,Guardia Urbana,2789
6,08,Radar,8966
6,09,Guardia Urbana,2321
6,09,Radar,10035
6,10,Guardia Urbana,1737
6,10,Radar,8689
6,11,Guardia Urbana,3520
6,11,Radar,7761
6,12,Guardia Urbana,5312
6,12,Radar,7503
6,13,Guardia Urbana,3810
6,13,Radar,7139
6,14,Guardia Urbana,2084
6,14,Radar,9205
6,15,Guardia Urbana,3446
6,15,Radar,11220
6,16,Guardia Urbana,5611
6,16,Radar,9059
6,17,Guardia Urbana,6652
6,17,Radar,6684
6,18,Guardia Urbana,5346
6,18,Radar,4528
6,19,Guardia Urbana,4476
6,19,Radar,4248
6,20,Guardia Urbana,3994
6,20,Radar,4510
6,21,Guardia Urbana,1814
6,21,Radar,4958
6,22,Guardia Urbana,831
6,22,Radar,6596
6,23,Guardia Urbana,2434
6,23,Radar,6196
